field1_Text_Text,field1_Link_Link
Spacious 2 Bedroom 2 Bath****,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-2-bedroom-2-bath/7066818714.html
Fully Furnished Bed and Bath Available in Hayes Valley 2br/2ba Apt,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-furnished-bed-and/7059363053.html
"Quiet, Urban nest w/ garden views - close to everything",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-urban-nest-garden/7064310444.html
North Beach Gem - 1b1ba IN 2Bd/2Ba - Malthouse SF,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-north-beach-gem-1b1ba-in/7063639711.html
Fun & Artsy 2 bdrm 2 bath Hayes Valley Hidden Gem,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fun-artsy-2-bdrm-2-bath/7068569389.html
2 Beds with 1 Bath,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-beds-with-1-bath/7069306877.html
